stocks,years,time
500,1,0.0250075
500,2,0.0481112
500,3,0.0746159
500,4,0.0932027
500,5,0.117884
1000,1,0.0476953
1000,2,0.0957194
1000,3,0.140853
1000,4,0.18576
1000,5,0.236196
1500,1,0.0729937
1500,2,0.154725
1500,3,0.231055
1500,4,0.281904
1500,5,0.349156
2000,1,0.0974917
2000,2,0.188325
2000,3,0.278845
2000,4,0.368087
2000,5,0.471274
2500,1,0.12013
2500,2,0.236861
2500,3,0.344974
2500,4,0.455658
2500,5,0.592908
3000,1,0.143117
3000,2,0.283532
3000,3,0.417917
3000,4,0.55439
3000,5,0.709255
3500,1,0.169409
3500,2,0.331002
3500,3,0.487641
3500,4,0.637189
3500,5,0.92964
4000,1,0.187157
4000,2,0.37097
4000,3,0.539862
4000,4,0.715575
4000,5,0.931682
4500,1,0.175427
4500,2,0.369933
4500,3,0.556986
4500,4,0.760992
4500,5,1.09266
5000,1,0.186318
5000,2,0.360289
5000,3,0.568591
5000,4,0.866177
5000,5,1.10455
